path,language,label,split,source,is_spoofed
spoofed_data/train/bn_mcv_common_voice_bn_30614352.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30614357.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30614365.mp3,bengali,0,train,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30620258.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30620259.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30620260.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30620261.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30635669.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30635670.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30635671.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30635672.mp3,bengali,0,dev,mcv,1
spoofed_data/dev/bn_mcv_common_voice_bn_30635673.mp3,bengali,0,dev,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30646492.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30646493.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30646494.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30646495.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30646496.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648511.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648512.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648513.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648514.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648521.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648522.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648523.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648524.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648525.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648526.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648527.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648528.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648529.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648531.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648532.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648533.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648534.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648535.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648537.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648539.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648540.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648551.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648552.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648553.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648554.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648560.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648562.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648563.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648564.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648565.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648566.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648567.mp3,bengali,0,train,mcv,1
spoofed_data/train/bn_mcv_common_voice_bn_30648568.mp3,bengali,0,train,mcv,1
